GS Paper,Title,Content
GS2,International trade law,"International trade law includes the appropriate rules and customs for handling trade between countries. However, it is also used in legal writings as trade between private sectors. This branch of law is now an independent field of study as most governments have become part of the world trade, as members of the World Trade Organization (WTO). Since the transaction between private sectors of different countries is an important part of the WTO activities, this latter branch of law is now part of the academic works and is under study in many universities across the world.

Overview
International trade law should be distinguished from the broader field of international economic law.  The latter could be said to encompass not only WTO law, but also law governing the international monetary system and currency regulation, as well as the law of international development.
The international trade law includes rules, regulations and customs governing trade between nations. International trade law is the tool used by the nation’s government for taking corrective actions against trade. International trade law focuses on applying domestic rules to international trade rules and applying treaty-based international trade law governing trade.
The body of rules for transnational trade in the 21st century was derived from medieval commercial laws called the lex mercatoria and lex maritima—respectively, ""the law for merchants on land"" and ""the law for merchants on the sea."" Modern trade law (extending beyond bilateral treaties) began shortly after the Second World War, with the negotiation of a multilateral treaty to deal with trade in goods: the General Agreement on Tariffs and Trade (GATT).
International trade law is based on theories of economic liberalism developed in Europe and later the United States from the 18th century onwards.
International Trade Law is an aggregate of legal rules of ""international legislation"" and new lex mercatoria, regulating relations in international trad"
GS2,Centre for Human Rights and Democracy in Africa,"The Centre for Human Rights and Democracy in Africa (CHRDA) is a human rights organisation documenting human rights violations and promoting human rights improvements in Africa, with a particular focus on Cameroon, where the organisation started.

History
The CHRDA started as a Cameroonian human rights organisation called the Centre for Human Rights and Democracy in Cameroon. In 2005, after discussions with colleagues from other parts of Africa and from the United States (US), the group added regional offices in Sierra Leone and the US and changed its name to the Centre for Human Rights and Democracy in Africa.

Anglophone crisis
The CHRDA is well known for its documentation of human rights violations during the Anglophone crisis, a civil war involving the Southern Cameroons region of Cameroon that started in 2017. In August 2018, the CHRDA published a list of 106 villages that had been raided and burnt down by Cameroonian government forces since October 2017. Citing eyewitness accounts, videos and photos as evidence, the CHRDA claimed that the 106 villages had been ""attacked, burned down partially or completely and deserted either completely or partially"".
In May 2019, CHRDA together with the Montreal-based Raoul Wallenberg Centre for Human Rights claimed that human rights violations in the Anglophone crisis constituted crimes against humanity.


== References =="
GS2,Medcities,"Medcities is a network of Mediterranean coastal cities created in Barcelona in 1991 at the initiative of the Mediterranean Technical Assistance Programmes (METAP). The METAP, whose objective is environmental improvement in the Mediterranean region, was established in 1990 by the World Bank, the European Investment Bank and the United Nations Development Programme.
The goals of the network are to strengthen the environmental management capability of local administration, through decentralised activities involving technical assistance, and also to reinforce awareness of interdependence and common responsibility regarding the policies of urban environmental conservation in the Mediterranean basin.

History
The creation of Medcities was a consequence of METAP's objective of strengthening decentralised actions involving technical assistance as the best means of promoting awareness of urban environmental problems and making those actions into a vehicle for empowering municipalities in developing countries in respect of management of urban environmental issues. Medcities continues offering this support. Afterwards, Medcities has extended its activities from the initial local environment to the wider local sustainable development field.

Objectives
The Medcities network is a tool to strengthen the environmental and sustainable development management capability of local administration, but it is also useful in order to identify the domains where a common activation could be the most useful means to improve the regional environmental conditions.
The goals of the Medcities Network are the following:
- to reinforce the awareness of interdependence and common responsibility regarding the policies of urban environmental conservation in the Mediterranean basin;
- to strengthen the role and the means (institutional, financial and technical capability) of municipalities in the implementation of local sustainable development policies;
- to develop awareness and involvement of citizen"
GS2,Quincy Institute for Responsible Statecraft,"The Quincy Institute for Responsible Statecraft is an American think tank specializing in foreign policy of the United States. Founded in 2019, the Quincy Institute has been described as advocating realism and restraint in foreign policy. 
The organization is located in Washington, D.C., and is named after former US president John Quincy Adams.

History
The Quincy Institute was co-founded by Andrew Bacevich, a former US Army officer who fought in the Vietnam War and later became a professor of history at Boston University. Bacevich is currently chairman of the board at the Quincy Institute.
Initial funding for the group, launched in November 2019, included half a million dollars each from George Soros' Open Society Foundations and Charles Koch's Koch Foundation. Substantial funding has also come from the Ford Foundation, the Carnegie Corporation of New York, the Rockefeller Brothers Fund, and Schumann Center for Media and Democracy. The institute distinguishes itself from many other think tanks in Washington, D.C. by refusing to accept money from foreign governments.
The think tank is named after US President John Quincy Adams who, as secretary of state, said in a speech on July 4, 1821, that the US ""goes not abroad in search of monsters to destroy."" It has been described as ""realist"" and ""promot[ing] an approach to the world based on diplomacy and restraint rather than threats, sanctions, and bombing.""
David Klion wrote: ""Quincy's founding members say again and again that 9/11 and the Iraq War were turning points in their careers.""

Purpose
The Quincy Institute states that it is a nonprofit research organization and think tank that hosts scholars, participates in debates, publishes analysis pieces by journalists and academics, and advocates for a ""less militarized and more cooperative foreign policy"". According to its statement of purpose, it is opposed to the military-industrial complex described by President Dwight D. Eisenhower in his farewell address.
Co-founde"
GS2,Document Freedom Day,"Document Freedom Day (DFD) is an annual event to ""celebrate and raise awareness of Open Standards"". It is celebrated on the last Wednesday of March each year. Document Freedom Day was first celebrated on 26 March 2008, and has continued to be celebrated every year since.
Document Freedom Day is organised by a team of volunteers of the Digital Freedom Foundation since 2016. It was previously organised by the Free Software Foundation Europe. DFD is funded by donors and partners which vary from year to year.
DFD 2013 was the largest ever with 60 events in 30 countries. A year later, in 2014, 51 groups in 22 countries held events celebrating Document Freedom Day. In 2019 it took place on Wednesday 27 March.

Relationship to free software
Document Freedom Day is a campaign about open standards and document formats, aimed at a non-technical audience. Open standards ensure communication is independent of software vendor; this, in turn, ensures that people ""are able to communicate and work using Free Software.""
Document freedom addresses much more than just essays and spreadsheets, it is about control of any kind of a digital data - including artwork, sheet and recorded music, email, and statistics. These can be stored in ways which empower users, but they can also be stored in formats which constrain and manipulate users at enormous cost. Documents that are not free are locked to some particular software or company. The author cannot choose how to use them because they are controlled by technical restrictions.

Relationship to open standards
According to Document Freedom volunteers, ""Open Standards are essential for interoperability and freedom of choice based on the merits of different software applications. They provide freedom from data lock-in and the subsequent supplier lock-in. This makes Open Standards essential for governments, companies, organisations and individual users of information technology.""
Document Freedom Day organizers have their own definition of tech"
GS2,Stability Pact for Southeastern Europe,"The Stability Pact for Southeastern Europe was an institution aimed at strengthening peace, democracy, human rights and economy in the countries of South Eastern Europe from 1999 to 2008.  It was replaced by the Regional Cooperation Council (RCC) in February 2008. The RCC replaced it because it is more ""regionally owned"" than the Stability Pact, which was driven more by outside partners such as the EU.

Membership
Member partners:
 Albania
 Bosnia and Herzegovina
 Bulgaria
 Croatia
 Hungary
 Moldova
 Montenegro
 North Macedonia
 Romania
 Serbia
 Slovenia
Observer:
 Ukraine
Supporting partners:
 Japan
 Norway
 Russia
 Turkey
  Switzerland
 United States
 European Union
European Bank for Reconstruction and Development
European Investment Bank
European Commission
Council of Europe
United Nations High Commissioner for Refugees (UNHCHR)
International Monetary Fund
North Atlantic Treaty Organization
Organisation for Economic Co-operation and Development
United Nations

Creation
The pact was created at the initiative of the European Union on June 10, 1999, in Cologne. All of the countries of the region, except for Serbia and Montenegro (then FR Yugoslavia) and Moldova, were present at the founding conference. Representatives of Bulgaria, Romania, Russia, Turkey, United States, all members of the EU at the time, OSCE, Council of Europe and European Commission were also considered active participants.
Representatives of Canada, Japan, United Nations, UNHCR, NATO, OECD, Western European Union, International Monetary Fund, World Bank, European Investment Bank and European Bank for Reconstruction and Development were present as facilitators.
The pact was created following the escalation of Kosovo War; stability of Kosovo was among the primary objectives.
In 2006 it was announced that the Stability Pact should be succeeded in early 2008 by a more regionally owned co-operation framework, the Regional Cooperation Council (RCC) formed by the countries of the region themselves, but "
GS2,Territorial integrity,"Territorial integrity is the principle under international law where sovereign states have a right to defend their borders and all territory in them from another state. It is enshrined in Article 2(4) of the UN Charter and has been recognized as customary international law. Under this principle, forcible imposition of a border change is an act of aggression. 
In the post-World War years, there has been tension between this principle and the concept of humanitarian intervention under Article 73.b of the United Nations Charter ""to develop self-government, to take due account of the political aspirations of the peoples, and to assist them in the progressive development of their free political institutions, according to the particular circumstances of each territory and its peoples and their varying stages of advancement."" 
Some of the strongest safeguards of territorial integrity are rule of law such as Charter of the United Nations and nuclear deterrence.
Scholars have debated the existence of a territorial integrity norm since the end of World War II. Conquest of large swaths of territory has been rare, but states have since 1945 continued to pursue (and often successfully) the violent annexation of small swaths of territory.

History
Prior to the modern era, there was not a clearly defined system of international boundaries. Rather, authority over territorial spaces was non-linear, often overlapping and shifting. According to Mark Zacher, ""precisely surveyed national borders only came into clear view in the eighteenth century"". Guntram Herb dates the emergence of clearly defined political territories to the 15th century.
The Peace of Westphalia in 1648 is commonly considered to have established territorial integrity as a cornerstone of sovereignty, embodied in the concept of Westphalian sovereignty, but even this did not necessarily reflect any absolute right to particular territory. Even after Westphalia, territorial exchange remained common between states. In turn"
GS2,Proxeny,"Proxeny or proxenia (Ancient Greek: προξενία) in ancient Greece was an arrangement whereby a citizen (chosen by the city) hosted foreign ambassadors at his own expense, in return for honorary titles from the state. The citizen was called proxenos (πρόξενος; plural: proxenoi or proxeni, ""instead of a foreigner"") or proxeinos (πρόξεινος). The proxeny decrees, which amount to letters patent and resolutions of appreciation were issued by one state to a citizen of another for service as proxenos, a kind of honorary consul looking after the interests of the other state's citizens. A common phrase is euergetes (benefactor) and proxenos (πρόξεινος τε ειη και ευεργέτης).
A proxenos would use whatever influence he had in his own city to promote policies of friendship or alliance with the city he voluntarily represented. For example, Cimon was Sparta's proxenos at Athens and during his period of prominence in Athenian politics, previous to the outbreak of the First Peloponnesian War, he strongly advocated a policy of cooperation between the two states. Cimon was known to be so fond of Sparta that he named one of his sons Lacedaemonius (as Sparta was known as Lacedaemon in antiquity).
Being another city's proxenos did not preclude taking part in war against that city, should it break out – since the proxenos' ultimate loyalty was to his own city. However, a proxenos would naturally try his best to prevent such a war and to resolve the differences that were threatening to cause it. And once peace negotiations were on the way, a proxenos' contacts and goodwill in the enemy city could be profitably used by his city.
The position of proxenos for a particular city was often hereditary in a particular family.
A 2024 study in the Journal of Economic History linked the presence of proxeny arrangements to increases in trade flows.

See also
Hospitium
Xenia

References
Bibliography
Monceaux, P., Les Proxénies Grecques (Paris, 1885).
Walbank, M., Athenian Proxenies of the Fifth Century B."
GS2,Timeline of events following World War II,"This is a timeline of the events that stretched over the period of the aftermath of World War II, with the inclusion of the Cold War, from 3 September 1945 to December 1991.

September 1945
4: The last German troops surrender on Svalbard.
5: Singapore is officially liberated by British and Indian troops.
6: The US Initial Post-Surrender Policy for Japan, which governs US policy in the occupation of Japan, is approved by Truman.
9: The Japanese troops in China formally surrender.
12: Japanese rule of Korea ends after Governor General Nobuyuki Abe stands down.
13: British forces under Major-General Douglas Gracey's 20th Indian Division, some 26,000 men in all, arrive in Saigon to disarm and accept the surrender of the Japanese Occupation Forces in Vietnam south of the 16th parallel. 180,000 Chinese Nationalist soldiers, mainly poor peasants, arrive in Hanoi to disarm and accept surrender north of the line. After looting Vietnamese villages during their entire march down from China, they then proceed to loot Hanoi.
16: The Japanese garrison in Hong Kong officially signs the instrument of surrender.
22: The British rearm 1,400 French soldiers from Japanese internment camps around Saigon. In Saigon, on the night of 24 September, a mob composed of Viet-Minh militants and sympathizers attacks French colonial administration and kills around 150 European civilians. An estimated 20,000 French civilians live in Saigon.
29: US General Robert Milchrist Cannon accepts the surrender of arms from Japanese Navy and Army soldiers on the islands of Miyako and Ishigaki at Sakishima Gunto.

October 1945
1: In Southern Vietnam, a purely bilateral British/French agreement recognizes French administration of the southern zone. In northern Vietnam, Chinese troops go on a ""rampage"". Hồ's Việt Minh are hopelessly ill-equipped to deal with it.
The non fraternization directive for U.S. troops against German civilians was rescinded. Previously even speaking to a German could lead to court martia"
GS2,List of countries by hospital beds,"The number of beds per people is an important indicator of the health care system of a country. The basic measure focus on all hospital beds, which are variously split and occupied. The classic hospital beds are also called curative beds. For severe patients with risk of organ(s) failure, patients are provided intensive care unit beds (aka ICU bed) or critical care beds (CCB).
Among OECD countries, curative beds' occupancy rate average was 75%, from 94.9% (Ireland) to 61.6% (Greece), with half of the OECD's nation between 70% and 80%.
In 2009, European nations, most of those that are also part of OECD, had an aggregated total of nearly 2.1 million acute beds and 73,585 critical care beds (CCB) or 11.5CCB/100,000 inhabitants. Germany had 29.2, Portugal 4.2.
Aging population leads to increased demand for CCB and difficulties to satisfy it, while both quantity of CCB and availability are poorly documented.
Base capacity for lower-income countries is approximately 0.1 ICU beds per 100,000 citizens.

Data
2020 coronavirus pandemic
The availability of CCB-ICU beds, mechanical ventilation and ECMO devices generally closely associated with hospital beds has been described as a critical bottleneck in responding to the ongoing COVID-19 pandemic. The lack of such devices dramatically raises the mortality rate of COVID-19.
In early March, the UK government supported a strategy to develop natural herd immunity, drawing sharp criticism from medical personnel and researchers. Various forecasts by Imperial College COVID-19 Response Team, made public on March 16, suggested that the peak number of cases in the UK would require between 100 and 225 CCBs / 100,000 inhabitants, if proper mitigation or no mitigation strategies are put into force, respectively. These requirements would both exceed the UK's current capacities of 6.6–14 CCB / 100,000 inhabitants. In the best case scenario, the peak caseload would require 7.5 times the current number of available ICU beds. Around March 16, th"
GS2,Transnational marriage in Japan,"An international marriage in Japan is a marriage between a Japanese and a non-Japanese person, in accordance with the formalities provided by the law of Japan or of a foreign land. Procedures and rules mentioned in this article are mainly those of Japan, but in some cases other requirements are imposed by the homeland of the non-Japanese spouse, or by the foreign land where the concerned couple marry. In general the legality of a marriage for each spouse is determined by the homeland law of the spouse.

History
Marriage between a Japanese national and a non-Japanese person was first officially permitted by act of law on March 14, 1873 (6th year of the Meiji Period), before the former Meiji Constitution (1889) and the former Nationality Law (1899). This day is informally known as International Marriage Day (国際結婚の日)
International marriage at the time required both a permit and surrender of recognised social standing (分限).
During 1986 to 1991, the period of Japanese bubble economy, labor shortages for ""3D jobs"" (dirty, dangerous, and demeaning) occurred in Japan. This situation created expand the migrant labor rates. However, the revised policy in 1990 prohibited unrestricted economic activities except for only four kinds of visa, which include the ""Spouse or child of a Japanese national"". This policy legalizes all kinds of economic activity for marriage migrations.

Homeland law
According to an Act of Japan on general rules, 

The homeland law of a person is the law of the country of citizenship of the person.
If a person has more than one citizenship, and if one of the citizenships is Japan, the homeland law is the law of Japan;
If a person has more than one citizenship, and none of them is Japanese, the homeland law of the person is the law of the country where the person habitually lives.
as to a concerned person with nationality of a nation in which laws are different according to locality (like the US), the homeland law is the local law under rules of the nation "
GS2,Freedom in the World by region,"Freedom in the World is a yearly survey and report by the U.S.-based non-governmental organization Freedom House that measures the degree of civil liberties and political rights in every nation and significant related and disputed territories around the world.

Sub-Saharan Africa
Key: * - Electoral democracies (as described above), PR - Political Rights, CL - Civil Liberties, Free Status: Free, Partly Free, Not Free

Americas
Key: * - Electoral democracies (as described above), PR - Political Rights, CL - Civil Liberties, Free Status: Free, Partly Free, Not Free

Asia-Pacific
Key: * - Electoral democracies (as described above), PR - Political Rights, CL - Civil Liberties, Free Status: Free, Partly Free, Not Free

Eurasia
Key: * - Electoral democracies (as described above), PR - Political Rights, CL - Civil Liberties, Free Status: Free, Partly Free, Not Free

Europe
Key: * - Electoral democracies (as described above), PR - Political Rights, CL - Civil Liberties, Free Status: Free, Partly Free, Not Free

Middle East and North Africa
Note: The Middle East countries of Turkey, Cyprus, Georgia, Azerbaijan and Armenia can be found in the ""Europe"" and ""Eurasia"" sections of Freedom House's Freedom in the World report.

Key: * - Electoral democracies (as described above), PR - Political Rights, CL - Civil Liberties, Free Status: Free, Partly Free, Not Free

See also
Freedom in the World
Democracy Ranking
Democracy-Dictatorship Index
List of indices of freedom
Index of Freedom in the World
Polity data series
Democracy in the Middle East

Notes
References
Bollen, Kenneth A. (1991), Inkeles, Alex (ed.), ""On measuring democracy: Its consequences and concomitants (Chapter 1, Political democracy: Conceptual and measurement traps)"", Proceedings of the Conference on Measuring Democracy, 27–28 May 1988, Hoover Institution, Stanford University (second printing, 1993 ed.), New Brunswick, New Jersey: Transactions Publishers, pp. 3–20, ISBN 978-0-88738-881-1
Bollen, Kenneth; Paxton, Pame"
GS2,Vyacheslav Danilenko,"V'yacheslav Vasilovich Danilenko (Ukrainian: Выячеслав Васильович Даниленко; born January 10, 1935) is a Ukrainian physicist who specializes in the nanodiamonds, which he gained expertise during his time in the former Soviet program of nuclear weapons.
In 2011, the IAEA investigators and the investigative report by the Washington Post leveled serious allegations on him as a ""foreign expert"" and accused him of being a central figure in the nuclear program of Iran after the Soviet collapse in 1991.

Soviet Union
From 1955 until 1991, Danilenko worked as a physicist in the  former Soviet program of nuclear weapons, where he was based in the NII-1011 facility which is located in the closed city of Chelyabinsk-70. His initial work was focused on Nanodiamond that were produced from detonation of former Soviet nuclear devices in the Semipalatinsk Test Site in Kazakhstan. He later gained expertise in the Detonation nanodiamond–a technology developed 
from the former Soviet program that improved the detonation process.

Post-Soviet years
Ukraine
After the Soviet dissolution, he moved to Kyiv in Ukraine, where he ran a private company called ALIT, which was known for producing diamonds. In 2004, he authored a paper on nanodiamonds.

Iran
In 2011 the Washington Post released an article alleging that he provided expertise in the development of nuclear detonators for the country at their Physics Research Centre between 1996 and 2002, and cited a report published by the International Atomic Energy Agency.


== References =="
GS2,Neocolonial racism,"Neocolonial racism is a subgroup of racism, inspired by the power dynamics left by the power and wealth disparages of a colonial landscape.
This subgroup of racism is typified by a hierarchy of classes dictated by race or ethnic group whose place in the hierarchy coincides with the level of the ethnic group during time of the foreign control; often colonial racism is seen as a power tool of elites to maintain order.  Some qualities of the racism include a mainstream history that is imposed by elites, ""willfully accepted false memories"" of popular icons who fought the racial ideas, and large disparages between the elite of colonial ruler ethnicity and the poor of the colonized ethnicity.  Most often this type of racism lends to continuous and long term violence, but it can also include power dynamics continued by volunteering activities.  It does not apply when Native peoples dominate the political landscape after an uprising or forced destruction of the invaders control, nor when the invasion itself was ineffective and never completed.

Types and Forms
Volunteer tourism, in which international volunteers seek to aid poorer countries has been critiqued as a practice as teaching neocolonialism and racism among the international community.  Proponents cite the power differences between the volunteers and indigenous folk, as well as interactions between the groups being decided on race and gender differences rather than other factors.
Colorblindness, not to be confused with the eye condition, has been critiqued as a practice of hiding racism by eradicating any comment about race from dialogue while still allowing racist sentiments to continue.  In this manner, the effects of racism can be denied in legal court due to the non-use of any designated racist comments.  Meanwhile, proponents of colorblindness maintain its use in preventing racist beliefs as a different explanation or perspective must be used instead of an overtly racist one.
Increasing needs of investments, a"
GS2,World Fiddle Day,"World Fiddle Day is an annual celebration of fiddle music, held on the third Saturday of May. World Fiddle Day events are held around the world, in areas where fiddle music is popular.

History
World Fiddle Day was founded by County Donegal fiddler Caoimhin Mac Aoidh in 2012. The May date was chosen to coincide with the 1737 death of Italian violin craftsman Antonio Stradivari. The first Toronto celebration was held in 2013 and that year there was a celebration in Winnipeg as well.
In 2015, Canada declared World Fiddle Day to be National Fiddle Day as well. There were celebrations in Owen Sound, Ontario, St. John's, Newfoundland and Toronto.  The Ottawa Fiddle and Stepdancing Competition was held in Richmond, Ontario.
In 2016 a World Fiddle Day celebration was held at Fort York in Toronto on May 21. Yosvani Castañeda Valdés demonstrated Cuban fiddling, while Dan MacDonald performed and presented a workshop about Cape Breton fiddling style. Other events were held in Owen Sound, Ontario and Scartaglen, County Kerry, Ireland.
In 2019 Kincardine, Ontario, held its fifth annual World Fiddle Day celebration with a downtown open air fiddling show.  The Scartaglen celebration that year included lectures about the lives of local fiddlers Denis Murphy and Julia Clifford.


== References =="
GS2,World Competitiveness Yearbook,"The World Competitiveness Yearbook is an annual report published by the Swiss-based International Institute for Management Development (IMD) on the competitiveness of nations and has been published since 1989. The yearbook benchmarks the performance of 63 countries based on 340 criteria measuring different facets of competitiveness. It uses two types of data:

2/3 hard statistical data (international/national sources)
1/3 survey data (Executive Opinion Survey)

Ranking of countries from 1997
See also
Global Competitiveness Report
Competition (companies)

Notes


== References =="
GS2,De-hyphenation,"De-hyphenation is a form of foreign policy where a country keeps diplomatic ties with two or more countries with conflicting interests, without letting the conflicts prioritize one country over another. The policy allows countries to hold independent relations with countries otherwise distrustful or hostile towards each other while treating each country as a single entity rather than as a part of a conflict with the other countries.

Etymology
The term de-hyphenation refers to removing the ""hyphen"" that links two entities. In the context of foreign policy, it signifies the act of untangling or disentangling the relationships between two countries or regions that were previously considered together or linked in some way. By using the term ""de-hyphenation,"" it emphasizes the need to treat each entity independently and distinctly, rather than as a combined or interconnected unit. The word effectively captures the concept of breaking apart the previously linked foreign policy approach to allow for more tailored and individualized strategies towards each entity.

Examples of de-hyphenation
Indian de-hyphenation policy on Israel and Palestine
In 2014, the then newly elected Prime Minister of India, Narendra Modi, instituted the de-hyphenation policy towards Israel. The aim behind the policy was to form diplomatic ties with Israel independent from the diplomatic ties India shall have with Palestine.
On 15 January 2018, the Prime Minister of Israel, Benjamin Netanyahu, visited New Delhi to sign agreements on cooperation in the areas of cyber-defence, security and science. The visit took place one month after India had voted in favor of a resolution brought by Turkey and Yemen in the United Nations to oppose a decision made by the United States to recognize Jerusalem as the capital of Israel, a decision that was strongly against Palestinian interests. Addressing the resolution, Netanyahu stated, ""I don't think one vote affects the general trend and you can see it in many oth"
GS2,Principle of consent,"Principle of consent is a term used in the context of the Northern Ireland peace process and is one of the key points of the Good Friday Agreement. The principle asserts both the legitimacy of the aspiration to a United Ireland and the legitimacy of the wish of the majority of the people of Northern Ireland to remain part of the United Kingdom. The doctrine also asserts the right of self-determination for the people of both jurisdictions in Ireland, Northern Ireland and the Republic of Ireland, without external interference, and only with the consensus of a majority of people in both polities. 
The principle of consent is now accepted by all elected parties in Ireland. It is opposed by Republican Sinn Féin, the Irish Republican Socialist Party, Éirígí and many non-aligned Irish republicans. 
Article 1 (ii) of the Good Friday Agreement says that the participants

recognise that it is for the people of the island of Ireland alone, by agreement between the two parts respectively and without external impediment, to exercise their right of self-determination on the basis of consent, freely and concurrently given, North and South, to bring about a united Ireland, if that is their wish, accepting that this right must be achieved and exercised with and subject to the agreement and consent of a majority of the people of Northern Ireland.""


== References =="
GS2,Belfast Guidelines on Amnesty and Accountability,"The Belfast Guidelines is a project led by Professor Louise Mallinder and Prof Tom Hadden of the Transitional Justice Institute. The Guidelines examine the principles concerning the legality and legitimacy of amnesties in states transitioning from conflict or authoritarian regimes. They were drafted by an expert group that included Prof David Kretzmer and Prof William Schabas. They have been widely translated into Arabic, Chinese, Malay, Portuguese, Russian, Spanish and Thai.

See also
Ulster University School of Law
Transitional Justice
Transitional Justice Institute
Amnesty law

References
External links
Belfast Guidelines
TJI Facebook Page
TJI Main Page
TJI Twitter Page"
GS2,G.9972,"G.9972 (also known as G.cx) is a Recommendation developed by ITU-T that specifies a coexistence mechanism for networking transceivers capable of operating over electrical power line wiring. It allows G.hn devices to coexist with other devices implementing G.9972 and operating on the same power line wiring.
G.9972 received consent during the meeting of ITU-T Study Group 15, on October 9, 2009, and final approval on June 11, 2010.
G.9972 specifies two mechanisms for coexistence between G.hn home networks and broadband over power lines (BPL) Internet access networks:

Frequency-division multiplexing (FDM), in which the available spectrum is divided into two parts: frequencies below 10 or 14 MHz (specific value can be selected by the access network) are reserved for the access network, while frequencies above them are reserved for the in-home network.
Time-division multiplexing (TDM), in which the available channel time is split equally between both networks. 50% of time slots are allocated for the access network, and 50% are allocated to the in-home network.


== References =="
GS2,Blocking statute,"A blocking statute is a law of one jurisdiction intended to hinder application there of a law made by a foreign jurisdiction. A blocking statute was proposed by the European Union in 1996 to nullify a US trade embargo on Cuba and sanctions related to Iran and Libya which affected countries trading with the US and with the named countries. The 1996 statute was not enacted as the disagreements were settled by other means.
A blocking statute shields companies in its jurisdiction against sanctions by prohibiting them from respecting the sanctions, and not recognising foreign court rulings enforcing them.

European Union blocking statute
A EU blocking statute was originally enacted in 1996 to ""counteract"" the sanctions imposed by the United States against Cuba, Iran and Libya.
After the US reimposed sanctions against Iran following its withdrawal from an agreement which permitted trade if Iran curtailed its nuclear programme, on 17 May 2018 the European Commission announced its intention to implement the blocking statute of 1996 to declare the US sanctions against Iran null and void in Europe and ban European citizens and companies from complying with them. The commission also instructed the European Investment Bank to facilitate European companies' investment in Iran.

2018 update
On 7 August 2018, the EU updated its blocking statute. The process of updating the EU blocking statute commenced by adding to its scope on 6 June 2018 the extraterritorial sanctions the US re-imposed on Iran. The European Commission said:

...We are determined to protect European economic operators engaged in legitimate business with Iran, in accordance with EU law and with UN Security Council resolution 2231... This is why the European Union’s updated Blocking Statute enters into force on 7 August to protect EU companies doing legitimate business with Iran from the impact of US extra-territorial sanctions.
The 2018 blocking statute essentially prohibits EU companies from ""direct"" or ""indirect"
GS2,Illicit financial flows,"Illicit financial flows, in economics, are a form of illegal capital flight that occurs when money is illegally earned, transferred, or spent. This money is intended to disappear from any record in the country of origin, and earnings on the stock of illicit financial flows outside a country generally do not return to the country of origin.
Illicit financial flows can be generated in a variety of ways that are not revealed in national accounts or balance of payments figures, including trade mispricing, bulk cash movements, hawala transactions, and smuggling.
There are several economic models used to provide estimates of illicit financial flows and capital flight. The two most common methods are the World Bank Residual Model and the DOTS-based Trade Mispricing Model, which uses the IMF's Direction of Trade Statistics (DOTS) database to analyze discrepancies in trade statistics between partner countries.  Another way to estimate trade mispricing is with the IPPS-based model, which was developed by John Zdanowicz of Florida International University. This method uses individual import and export transactions of the United States with the rest of the world to find inconsistencies in export and import prices. Economists also use hot money (Narrow) Method and the Dooley Method in these estimates.
A 2013 paper, authorized by Raymond W. Baker, Director of the Global Financial Integrity estimated illicit financial flows ""out of developing countries are approximately $1 trillion a year"". This study also found that China, Russia, and Mexico accounted for the three largest shares of worldwide illicit financial flows.
The  United Nations Sustainable Development Goal 16 has a target to significantly reduce illicit financial flows and strengthen recovery and return of stolen assets by 2030.

Pakistan
Estimates of illicit financial flows in Pakistan are estimated to be at over $10 billion as escaping taxation and being siphoned off outside the country. This is with nearly one third o"
GS2,Barbary corsairs,"The Barbary corsairs, Barbary pirates, Ottoman corsairs, or naval mujahideen (in Muslim sources) were mainly Muslim corsairs and privateers who operated from the largely independent Barbary states. This area was known in Europe as the Barbary Coast, in reference to the Berbers. Slaves in Barbary could be of many ethnicities, and of many different religions, such as Christian, Jewish, or Muslim. Their predation extended throughout the Mediterranean, south along West Africa's Atlantic seaboard and into the North Atlantic as far north as Iceland, but they primarily operated in the western Mediterranean. In addition to seizing merchant ships, they engaged in razzias, raids on European coastal towns and villages, mainly in Italy, France, Spain, and Portugal, but also in the British Isles, and Iceland.
While such raids began after the Muslim conquest of the Iberian Peninsula in the 710s, the terms ""Barbary pirates"" and ""Barbary corsairs"" are normally applied to the raiders active from the 16th century onwards, when the frequency and range of the slavers' attacks increased. In that period, Algiers, Tunis and Tripoli came under the sovereignty of the Ottoman Empire, either as directly administered provinces or as autonomous dependencies known as the Barbary states. Similar raids were undertaken from Salé (see Salé Rovers) and other ports in Morocco.
Barbary corsairs captured thousands of merchant ships and repeatedly raided coastal towns in Europe.  As a result, residents abandoned their former villages on long stretches of coast in Spain and Italy.
The raids were such a problem that coastal settlements were seldom undertaken until the 19th century. Between 1580 and 1680, corsairs were said to have captured about 850,000 people as slaves and from 1530 to 1780 as many as 1.25 million people were enslaved. However, these numbers are estimated and provided by only one historian, Robert Davis, and have been questioned by others like David Earle. Some of these corsairs were Euro"
